Date(UTC),UnixTimeStamp,Fee (FTM*10^18),Fee In FTM,FTM Price,Fee in USD,Month,Year,,,,,,,,,
1/13/22,1642032000,7.65928E+22,76592.76848,3.01," $230,544.23 ",January,2022,,,,,,,,,
1/14/22,1642118400,5.91743E+22,59174.3331,2.96," $175,156.03 ",January,2022,,,,,,,,,
1/15/22,1642204800,4.9387E+22,49386.95282,3," $148,160.86 ",January,2022,,,,,,,,,
1/16/22,1642291200,7.94665E+22,79466.54301,3.31," $263,034.26 ",January,2022,,,,,,,,,
1/17/22,1642377600,9.49457E+22,94945.7393,2.93," $278,191.02 ",January,2022,,,,,,,,,
1/18/22,1642464000,1.05704E+23,105703.7381,2.96," $312,883.06 ",January,2022,,,,,,,,,
1/19/22,1642550400,8.57608E+22,85760.80039,2.77," $237,557.42 ",January,2022,,,,,,,,,
1/20/22,1642636800,7.06081E+22,70608.104,2.69," $189,935.80 ",January,2022,,,,,,,,,
1/21/22,1642723200,2.03779E+23,203779.3415,2.28," $464,616.90 ",January,2022,,,,,,,,,
1/22/22,1642809600,3.01023E+23,301023.3812,1.97," $593,016.06 ",January,2022,,,,,,,,,
1/23/22,1642896000,1.13327E+23,113326.6715,2.28," $258,384.81 ",January,2022,,,,,,,,,
1/24/22,1642982400,1.25579E+23,125578.8623,2.26," $283,808.23 ",January,2022,,,,,,,,,
1/25/22,1643068800,1.09904E+23,109903.6946,2.38," $261,570.79 ",January,2022,,,,,,,,,
1/26/22,1643155200,1.21989E+23,121989.3745,2.24," $273,256.20 ",January,2022,,,,,,,,,
1/27/22,1643241600,1.35917E+23,135917.0493,2.08," $282,707.46 ",January,2022,,,,,,,,,
1/28/22,1643328000,1.00342E+23,100341.5018,2.13," $213,727.40 ",January,2022,,,,,,,,,
1/29/22,1643414400,4.93813E+22,49381.32484,2.1," $103,700.78 ",January,2022,,,,,,,,,
1/30/22,1643500800,3.80819E+22,38081.93112,2.03," $77,306.32 ",January,2022,,,,,,,,,
1/31/22,1643587200,3.69676E+22,36967.55524,2.04," $75,413.81 ",January,2022,,,,,,,,,
2/1/22,1643673600,3.87604E+22,38760.37481,2.07," $80,233.98 ",February,2022,,,,,,,,,
2/2/22,1643760000,5.95655E+22,59565.47445,1.92," $114,365.71 ",February,2022,,,,,,,,,
2/3/22,1643846400,4.02284E+22,40228.43574,1.96," $78,847.73 ",February,2022,,,,,,,,,
2/4/22,1643932800,5.77035E+22,57703.5443,2.13," $122,908.55 ",February,2022,,,,,,,,,
2/5/22,1644019200,6.41768E+22,64176.81453,2.09," $134,129.54 ",February,2022,,,,,,,,,
2/6/22,1644105600,6.31362E+22,63136.23744,2.16," $136,374.27 ",February,2022,,,,,,,,,
2/7/22,1644192000,5.75762E+22,57576.1983,2.32," $133,576.78 ",February,2022,,,,,,,,,
2/8/22,1644278400,8.7796E+22,87795.98009,2.21," $194,029.12 ",February,2022,,,,,,,,,
2/9/22,1644364800,7.03735E+22,70373.46125,2.26," $159,044.02 ",February,2022,,,,,,,,,
2/10/22,1644451200,6.1312E+22,61311.97416,2.1," $128,755.15 ",February,2022,,,,,,,,,
2/11/22,1644537600,5.89843E+22,58984.25644,1.94," $114,429.46 ",February,2022,,,,,,,,,
2/12/22,1644624000,3.82907E+22,38290.6833,1.95," $74,666.83 ",February,2022,,,,,,,,,
2/13/22,1644710400,4.49579E+22,44957.86804,1.89," $84,970.37 ",February,2022,,,,,,,,,
2/14/22,1644796800,4.88717E+22,48871.70388,1.93," $94,322.39 ",February,2022,,,,,,,,,
2/15/22,1644883200,5.13893E+22,51389.3159,2.09," $107,403.67 ",February,2022,,,,,,,,,
2/16/22,1644969600,4.78755E+22,47875.48314,2.07," $99,102.25 ",February,2022,,,,,,,,,
2/17/22,1645056000,5.23803E+22,52380.26909,1.9," $99,522.51 ",February,2022,,,,,,,,,
2/18/22,1645142400,5.98462E+22,59846.20956,1.87," $111,912.41 ",February,2022,,,,,,,,,
2/19/22,1645228800,3.71088E+22,37108.81031,1.88," $69,764.56 ",February,2022,,,,,,,,,
2/20/22,1645315200,4.88598E+22,48859.82778,1.73," $84,527.50 ",February,2022,,,,,,,,,
2/21/22,1645401600,1.04259E+23,104258.5176,1.54," $160,558.12 ",February,2022,,,,,,,,,
2/22/22,1645488000,7.25797E+22,72579.74786,1.61," $116,853.39 ",February,2022,,,,,,,,,
2/23/22,1645574400,1.63127E+23,163127.2642,1.57," $256,109.80 ",February,2022,,,,,,,,,
2/24/22,1645660800,4.93882E+23,493882.2862,1.49," $735,884.61 ",February,2022,,,,,,,,,
2/25/22,1645747200,4.03267E+23,403266.9572,1.72," $693,619.17 ",February,2022,,,,,,,,,
2/26/22,1645833600,2.34524E+23,234524.1552,1.77," $415,107.75 ",February,2022,,,,,,,,,
2/27/22,1645920000,2.09642E+23,209641.5355,1.59," $333,330.04 ",February,2022,,,,,,,,,
2/28/22,1646006400,1.91544E+23,191543.9492,1.78," $340,948.23 ",February,2022,,,,,,,,,
3/1/22,1646092800,1.75824E+23,175824.1776,1.83," $321,758.25 ",March,2022,,,,,,,,,
3/2/22,1646179200,2.58617E+23,258616.9828,2.02," $522,406.31 ",March,2022,,,,,,,,,
3/3/22,1646265600,2.76099E+23,276098.9265,1.87," $516,304.99 ",March,2022,,,,,,,,,
3/4/22,1646352000,8.62331E+22,86233.13749,1.66," $143,147.01 ",March,2022,,,,,,,,,
3/5/22,1646438400,6.62213E+22,66221.25238,1.69," $111,913.92 ",March,2022,,,,,,,,,
3/6/22,1646524800,4.05038E+23,405037.621,1.41," $571,103.05 ",March,2022,,,,,,,,,
3/7/22,1646611200,1.61283E+23,161283.1145,1.32," $212,893.71 ",March,2022,,,,,,,,,
3/8/22,1646697600,1.44495E+23,144495.4233,1.32," $190,733.96 ",March,2022,,,,,,,,,
3/9/22,1646784000,1.05837E+23,105837.0568,1.37," $144,996.77 ",March,2022,,,,,,,,,
3/10/22,1646870400,1.51814E+23,151814.3319,1.24," $188,249.77 ",March,2022,,,,,,,,,
3/11/22,1646956800,1.55704E+23,155704.0045,1.2," $186,844.81 ",March,2022,,,,,,,,,
3/12/22,1647043200,7.8123E+22,78123.0102,1.19," $92,966.38 ",March,2022,,,,,,,,,
3/13/22,1647129600,8.40506E+22,84050.60953,1.12," $94,136.68 ",March,2022,,,,,,,,,
3/14/22,1647216000,1.22721E+23,122721.3105,1.08," $132,539.02 ",March,2022,,,,,,,,,
3/15/22,1647302400,9.42324E+22,94232.4272,1.2," $113,078.91 ",March,2022,,,,,,,,,
3/16/22,1647388800,9.32026E+22,93202.64048,1.27," $118,367.35 ",March,2022,,,,,,,,,
3/17/22,1647475200,6.90941E+22,69094.10439,1.2," $82,912.93 ",March,2022,,,,,,,,,
3/18/22,1647561600,4.10669E+22,41066.94366,1.25," $51,333.68 ",March,2022,,,,,,,,,
3/19/22,1647648000,4.63977E+22,46397.66761,1.32," $61,244.92 ",March,2022,,,,,,,,,
3/20/22,1647734400,2.79513E+22,27951.3472,1.25," $34,939.18 ",March,2022,,,,,,,,,
3/21/22,1647820800,4.37228E+22,43722.80334,1.26," $55,090.73 ",March,2022,,,,,,,,,
3/22/22,1647907200,7.01713E+22,70171.26402,1.27," $89,117.51 ",March,2022,,,,,,,,,
3/23/22,1647993600,4.40005E+22,44000.54949,1.31," $57,640.72 ",March,2022,,,,,,,,,
3/24/22,1648080000,8.42037E+22,84203.68534,1.32," $111,148.86 ",March,2022,,,,,,,,,
3/25/22,1648166400,6.40497E+22,64049.65654,1.35," $86,467.04 ",March,2022,,,,,,,,,
3/26/22,1648252800,3.96887E+22,39688.68327,1.4," $55,564.16 ",March,2022,,,,,,,,,
3/27/22,1648339200,3.50549E+22,35054.94315,1.44," $50,479.12 ",March,2022,,,,,,,,,
3/28/22,1648425600,5.033E+22,50329.96022,1.4," $70,461.94 ",March,2022,,,,,,,,,
3/29/22,1648512000,4.46319E+22,44631.94623,1.42," $63,377.36 ",March,2022,,,,,,,,,
3/30/22,1648598400,4.39106E+22,43910.61793,1.41," $61,913.97 ",March,2022,,,,,,,,,
3/31/22,1648684800,8.14477E+22,81447.70969,1.43," $116,470.22 ",March,2022,,,,,,,,,
4/1/22,1648771200,6.59035E+22,65903.49328,1.59," $104,786.55 ",April,2022,,,,,,,,,
4/2/22,1648857600,4.165E+22,41650.02529,1.54," $64,141.04 ",April,2022,,,,,,,,,
4/3/22,1648944000,4.60036E+22,46003.58792,1.63," $74,985.85 ",April,2022,,,,,,,,,
4/4/22,1649030400,3.95647E+22,39564.68428,1.55," $61,325.26 ",April,2022,,,,,,,,,
4/5/22,1649116800,4.15551E+22,41555.11788,1.45," $60,254.92 ",April,2022,,,,,,,,,
4/6/22,1649203200,1.21576E+23,121575.7368,1.31," $159,264.22 ",April,2022,,,,,,,,,
4/7/22,1649289600,5.46347E+22,54634.7192,1.35," $73,756.87 ",April,2022,,,,,,,,,
4/8/22,1649376000,4.93583E+22,49358.33176,1.25," $61,697.91 ",April,2022,,,,,,,,,
4/9/22,1649462400,3.51847E+22,35184.67112,1.3," $45,740.07 ",April,2022,,,,,,,,,
4/10/22,1649548800,3.38718E+22,33871.76699,1.26," $42,678.43 ",April,2022,,,,,,,,,
4/11/22,1649635200,6.31957E+22,63195.73802,1.12," $70,779.23 ",April,2022,,,,,,,,,
4/12/22,1649721600,4.36721E+22,43672.14336,1.16," $50,659.69 ",April,2022,,,,,,,,,
4/13/22,1649808000,5.81126E+22,58112.64719,1.19," $69,154.05 ",April,2022,,,,,,,,,
4/14/22,1649894400,4.22414E+22,42241.40958,1.15," $48,577.62 ",April,2022,,,,,,,,,
4/15/22,1649980800,3.87448E+22,38744.75847,1.18," $45,718.81 ",April,2022,,,,,,,,,
4/16/22,1650067200,2.36374E+22,23637.38983,1.16," $27,419.37 ",April,2022,,,,,,,,,
4/17/22,1650153600,2.84213E+22,28421.30496,1.11," $31,547.65 ",April,2022,,,,,,,,,
4/18/22,1650240000,8.64242E+22,86424.2203,1.14," $98,523.61 ",April,2022,,,,,,,,,
4/19/22,1650326400,5.30558E+22,53055.83216,1.19," $63,136.44 ",April,2022,,,,,,,,,
4/20/22,1650412800,3.73316E+22,37331.64136,1.18," $44,051.34 ",April,2022,,,,,,,,,
4/21/22,1650499200,5.25491E+22,52549.09038,1.12," $58,854.98 ",April,2022,,,,,,,,,
4/22/22,1650585600,4.20533E+22,42053.30146,1.11," $46,679.16 ",April,2022,,,,,,,,,
4/23/22,1650672000,2.85145E+22,28514.50001,1.09," $31,080.81 ",April,2022,,,,,,,,,
4/24/22,1650758400,4.32616E+22,43261.60004,1.07," $46,289.91 ",April,2022,,,,,,,,,
4/25/22,1650844800,7.43707E+22,74370.65409,1.07," $79,576.60 ",April,2022,,,,,,,,,
4/26/22,1650931200,5.97863E+22,59786.3057,0.97," $57,992.72 ",April,2022,,,,,,,,,
4/27/22,1651017600,4.15454E+22,41545.36927,0.99," $41,129.92 ",April,2022,,,,,,,,,
4/28/22,1651104000,9.18904E+22,91890.42185,0.97," $89,133.71 ",April,2022,,,,,,,,,
4/29/22,1651190400,1.99328E+23,199328.0006,0.83," $165,442.24 ",April,2022,,,,,,,,,
4/30/22,1651276800,3.92123E+23,392123.2925,0.68," $266,643.84 ",April,2022,,,,,,,,,
5/1/22,1651363200,1.43902E+23,143901.862,0.79," $113,682.47 ",May,2022,,,,,,,,,
5/2/22,1651449600,9.2777E+22,92777.0017,0.77," $71,438.29 ",May,2022,,,,,,,,,
5/3/22,1651536000,5.19938E+22,51993.79981,0.75," $38,995.35 ",May,2022,,,,,,,,,
5/4/22,1651622400,4.98688E+22,49868.78005,0.86," $42,887.15 ",May,2022,,,,,,,,,
5/5/22,1651708800,7.35412E+22,73541.17246,0.74," $54,420.47 ",May,2022,,,,,,,,,
5/6/22,1651795200,5.87621E+22,58762.05812,0.72," $42,308.68 ",May,2022,,,,,,,,,
5/7/22,1651881600,8.08679E+22,80867.85501,0.68," $54,990.14 ",May,2022,,,,,,,,,
5/8/22,1651968000,6.92714E+22,69271.40332,0.68," $47,104.55 ",May,2022,,,,,,,,,
5/9/22,1652054400,2.96697E+23,296696.9066,0.54," $160,216.33 ",May,2022,,,,,,,,,
5/10/22,1652140800,2.14749E+23,214749.0917,0.53," $113,817.02 ",May,2022,,,,,,,,,
5/11/22,1652227200,1.53072E+24,1530716.556,0.31," $474,522.13 ",May,2022,,,,,,,,,
5/12/22,1652313600,1.30912E+24,1309120.487,0.3," $392,736.15 ",May,2022,,,,,,,,,
5/13/22,1652400000,7.56014E+23,756014.3341,0.33," $249,484.73 ",May,2022,,,,,,,,,
5/14/22,1652486400,2.50139E+23,250138.67,0.38," $95,052.69 ",May,2022,,,,,,,,,
5/15/22,1652572800,2.19977E+23,219976.7013,0.39," $85,790.91 ",May,2022,,,,,,,,,
5/16/22,1652659200,3.38865E+23,338864.7754,0.34," $115,214.02 ",May,2022,,,,,,,,,
5/17/22,1652745600,1.13578E+23,113577.6575,0.36," $40,887.96 ",May,2022,,,,,,,,,
5/18/22,1652832000,1.0991E+23,109910.4102,0.32," $35,171.33 ",May,2022,,,,,,,,,
5/19/22,1652918400,1.06563E+23,106562.8986,0.35," $37,297.01 ",May,2022,,,,,,,,,
5/20/22,1653004800,7.97241E+22,79724.10133,0.35," $27,903.44 ",May,2022,,,,,,,,,
5/21/22,1653091200,1.34084E+23,134083.8497,0.41," $54,974.38 ",May,2022,,,,,,,,,
5/22/22,1653177600,5.78645E+22,57864.46189,0.44," $25,460.36 ",May,2022,,,,,,,,,
5/23/22,1653264000,9.61923E+22,96192.28602,0.43," $41,362.68 ",May,2022,,,,,,,,,
5/24/22,1653350400,7.2863E+22,72863.0023,0.42," $30,602.46 ",May,2022,,,,,,,,,
5/25/22,1653436800,3.82525E+22,38252.50359,0.4," $15,301.00 ",May,2022,,,,,,,,,
5/26/22,1653523200,9.20996E+22,92099.55866,0.38," $34,997.83 ",May,2022,,,,,,,,,
5/27/22,1653609600,7.42645E+22,74264.50758,0.34," $25,249.93 ",May,2022,,,,,,,,,
5/28/22,1653696000,1.80349E+22,18034.8691,0.37," $6,672.90 ",May,2022,,,,,,,,,
5/29/22,1653782400,1.22862E+22,12286.17912,0.37," $4,545.89 ",May,2022,,,,,,,,,
5/30/22,1653868800,5.17746E+22,51774.6067,0.42," $21,745.33 ",May,2022,,,,,,,,,
5/31/22,1653955200,3.57973E+22,35797.29851,0.4," $14,318.92 ",May,2022,,,,,,,,,
6/1/22,1654041600,2.93114E+22,29311.40885,0.37," $10,845.22 ",June,2022,,,,,,,,,
6/2/22,1654128000,2.20622E+22,22062.18732,0.38," $8,383.63 ",June,2022,,,,,,,,,
6/3/22,1654214400,1.38671E+22,13867.06388,0.36," $4,992.14 ",June,2022,,,,,,,,,
6/4/22,1654300800,1.50851E+22,15085.06583,0.35," $5,279.77 ",June,2022,,,,,,,,,
6/5/22,1654387200,1.15088E+22,11508.80159,0.35," $4,028.08 ",June,2022,,,,,,,,,
6/6/22,1654473600,5.83714E+22,58371.41475,0.36," $21,013.71 ",June,2022,,,,,,,,,
6/7/22,1654560000,2.04855E+22,20485.45553,0.35," $7,169.91 ",June,2022,,,,,,,,,
6/8/22,1654646400,2.13286E+22,21328.62136,0.34," $7,251.73 ",June,2022,,,,,,,,,
6/9/22,1654732800,1.75943E+22,17594.31655,0.34," $5,982.07 ",June,2022,,,,,,,,,
6/10/22,1654819200,4.60516E+22,46051.58028,0.31," $14,275.99 ",June,2022,,,,,,,,,
6/11/22,1654905600,5.69193E+22,56919.25822,0.28," $15,937.39 ",June,2022,,,,,,,,,
6/12/22,1654992000,4.0279E+23,402789.7036,0.22," $88,613.73 ",June,2022,,,,,,,,,
6/13/22,1655078400,6.72347E+23,672346.8834,0.24," $161,363.25 ",June,2022,,,,,,,,,
6/14/22,1655164800,2.56174E+23,256173.795,0.23," $58,919.97 ",June,2022,,,,,,,,,
6/15/22,1655251200,2.00401E+23,200401.3039,0.26," $52,104.34 ",June,2022,,,,,,,,,
6/16/22,1655337600,7.92222E+22,79222.22825,0.22," $17,428.89 ",June,2022,,,,,,,,,
6/17/22,1655424000,5.89679E+22,58967.88648,0.24," $14,152.29 ",June,2022,,,,,,,,,
6/18/22,1655510400,3.34773E+23,334773.4287,0.22," $73,650.15 ",June,2022,,,,,,,,,
6/19/22,1655596800,4.85591E+22,48559.11402,0.24," $11,654.19 ",June,2022,,,,,,,,,
6/20/22,1655683200,3.96704E+22,39670.42376,0.25," $9,917.61 ",June,2022,,,,,,,,,
6/21/22,1655769600,4.22087E+22,42208.70132,0.27," $11,396.35 ",June,2022,,,,,,,,,
6/22/22,1655856000,2.21311E+22,22131.13849,0.25," $5,532.78 ",June,2022,,,,,,,,,
6/23/22,1655942400,1.99928E+22,19992.76506,0.27," $5,398.05 ",June,2022,,,,,,,,,
6/24/22,1656028800,2.26816E+22,22681.57525,0.3," $6,804.47 ",June,2022,,,,,,,,,
6/25/22,1656115200,1.77578E+22,17757.77022,0.31," $5,504.91 ",June,2022,,,,,,,,,
6/26/22,1656201600,1.89225E+22,18922.53604,0.28," $5,298.31 ",June,2022,,,,,,,,,
6/27/22,1656288000,1.84746E+22,18474.62654,0.28," $5,172.90 ",June,2022,,,,,,,,,
6/28/22,1656374400,1.16685E+22,11668.51995,0.27," $3,150.50 ",June,2022,,,,,,,,,
6/29/22,1656460800,2.07034E+22,20703.37984,0.26," $5,382.88 ",June,2022,,,,,,,,,
6/30/22,1656547200,2.09298E+22,20929.78998,0.25," $5,232.45 ",June,2022,,,,,,,,,
7/1/22,1656633600,2.29516E+22,22951.5576,0.25," $5,737.89 ",July,2022,,,,,,,,,
7/2/22,1656720000,5.94614E+21,5946.136206,0.25," $1,486.53 ",July,2022,,,,,,,,,
7/3/22,1656806400,2.80419E+22,28041.86146,0.26," $7,290.88 ",July,2022,,,,,,,,,
7/4/22,1656892800,1.12402E+22,11240.1643,0.26," $2,922.44 ",July,2022,,,,,,,,,
7/5/22,1656979200,1.24306E+22,12430.64188,0.26," $3,231.97 ",July,2022,,,,,,,,,
7/6/22,1657065600,5.52387E+21,5523.869947,0.26," $1,436.21 ",July,2022,,,,,,,,,
7/7/22,1657152000,2.18164E+22,21816.42763,0.28," $6,108.60 ",July,2022,,,,,,,,,
7/8/22,1657238400,9.48246E+21,9482.457526,0.27," $2,560.26 ",July,2022,,,,,,,,,
7/9/22,1657324800,5.4014E+21,5401.397476,0.28," $1,512.39 ",July,2022,,,,,,,,,
7/10/22,1657411200,6.42552E+21,6425.519922,0.27," $1,734.89 ",July,2022,,,,,,,,,
7/11/22,1657497600,1.59069E+22,15906.87041,0.24," $3,817.65 ",July,2022,,,,,,,,,
7/12/22,1657584000,6.29681E+21,6296.806645,0.23," $1,448.27 ",July,2022,,,,,,,,,
7/13/22,1657670400,2.70854E+22,27085.37961,0.25," $6,771.34 ",July,2022,,,,,,,,,
7/14/22,1657756800,1.50197E+22,15019.6902,0.25," $3,754.92 ",July,2022,,,,,,,,,
7/15/22,1657843200,1.35279E+22,13527.87786,0.26," $3,517.25 ",July,2022,,,,,,,,,
7/16/22,1657929600,2.09508E+22,20950.77968,0.26," $5,447.20 ",July,2022,,,,,,,,,
7/17/22,1658016000,1.12039E+22,11203.94089,0.26," $2,913.02 ",July,2022,,,,,,,,,
7/18/22,1658102400,1.58141E+22,15814.07779,0.3," $4,744.22 ",July,2022,,,,,,,,,
7/19/22,1658188800,4.00929E+22,40092.8972,0.34," $13,631.59 ",July,2022,,,,,,,,,
7/20/22,1658275200,2.70329E+22,27032.87436,0.31," $8,380.19 ",July,2022,,,,,,,,,
7/21/22,1658361600,2.15503E+22,21550.25312,0.33," $7,111.58 ",July,2022,,,,,,,,,
7/22/22,1658448000,8.23414E+21,8234.140389,0.32," $2,634.92 ",July,2022,,,,,,,,,
7/23/22,1658534400,1.01128E+22,10112.81138,0.34," $3,438.36 ",July,2022,,,,,,,,,
7/24/22,1658620800,9.7443E+21,9744.303103,0.36," $3,507.95 ",July,2022,,,,,,,,,
7/25/22,1658707200,1.02998E+22,10299.76715,0.3," $3,089.93 ",July,2022,,,,,,,,,
7/26/22,1658793600,1.03927E+22,10392.65109,0.3," $3,117.80 ",July,2022,,,,,,,,,
7/27/22,1658880000,1.44813E+22,14481.33088,0.33," $4,778.84 ",July,2022,,,,,,,,,
7/28/22,1658966400,1.72784E+22,17278.38159,0.34," $5,874.65 ",July,2022,,,,,,,,,
7/29/22,1659052800,1.33403E+22,13340.30899,0.33," $4,402.30 ",July,2022,,,,,,,,,
7/30/22,1659139200,1.16555E+22,11655.52526,0.33," $3,846.32 ",July,2022,,,,,,,,,
7/31/22,1659225600,9.61861E+21,9618.608458,0.33," $3,174.14 ",July,2022,,,,,,,,,
8/1/22,1659312000,8.87123E+21,8871.232092,0.34," $3,016.22 ",August,2022,,,,,,,,,
8/2/22,1659398400,8.1492E+21,8149.203138,0.33," $2,689.24 ",August,2022,,,,,,,,,
8/3/22,1659484800,5.54294E+21,5542.940278,0.34," $1,884.60 ",August,2022,,,,,,,,,
8/4/22,1659571200,1.34829E+22,13482.94045,0.37," $4,988.69 ",August,2022,,,,,,,,,
8/5/22,1659657600,1.0594E+22,10593.96425,0.38," $4,025.71 ",August,2022,,,,,,,,,
8/6/22,1659744000,4.49525E+21,4495.254405,0.37," $1,663.24 ",August,2022,,,,,,,,,
8/7/22,1659830400,5.89226E+21,5892.261745,0.37," $2,180.14 ",August,2022,,,,,,,,,
8/8/22,1659916800,1.01917E+22,10191.69942,0.38," $3,872.85 ",August,2022,,,,,,,,,
8/9/22,1660003200,7.78358E+21,7783.583599,0.37," $2,879.93 ",August,2022,,,,,,,,,
8/10/22,1660089600,1.51348E+22,15134.81404,0.41," $6,205.27 ",August,2022,,,,,,,,,
8/11/22,1660176000,5.59505E+21,5595.052003,0.39," $2,182.07 ",August,2022,,,,,,,,,
8/12/22,1660262400,3.31564E+21,3315.642542,0.4," $1,326.26 ",August,2022,,,,,,,,,
8/13/22,1660348800,3.3327E+21,3332.696844,0.4," $1,333.08 ",August,2022,,,,,,,,,
8/14/22,1660435200,3.28698E+21,3286.981901,0.39," $1,281.92 ",August,2022,,,,,,,,,
8/15/22,1660521600,6.24809E+21,6248.094285,0.37," $2,311.79 ",August,2022,,,,,,,,,
8/16/22,1660608000,4.91605E+21,4916.050581,0.37," $1,818.94 ",August,2022,,,,,,,,,
8/17/22,1660694400,7.54195E+21,7541.952121,0.35," $2,639.68 ",August,2022,,,,,,,,,
8/18/22,1660780800,1.07504E+22,10750.36431,0.33," $3,547.62 ",August,2022,,,,,,,,,
8/19/22,1660867200,2.60147E+22,26014.73192,0.3," $7,804.42 ",August,2022,,,,,,,,,
8/20/22,1660953600,5.68326E+21,5683.256091,0.3," $1,704.98 ",August,2022,,,,,,,,,
8/21/22,1661040000,2.54931E+21,2549.314218,0.31, $790.29 ,August,2022,,,,,,,,,
8/22/22,1661126400,4.69678E+21,4696.782162,0.3," $1,409.03 ",August,2022,,,,,,,,,
8/23/22,1661212800,4.23193E+21,4231.929366,0.31," $1,311.90 ",August,2022,,,,,,,,,
8/24/22,1661299200,6.36265E+21,6362.649101,0.3," $1,908.79 ",August,2022,,,,,,,,,
8/25/22,1661385600,5.14226E+21,5142.263254,0.31," $1,594.10 ",August,2022,,,,,,,,,
8/26/22,1661472000,1.58947E+22,15894.66356,0.27," $4,291.56 ",August,2022,,,,,,,,,
8/27/22,1661558400,4.09148E+22,40914.76548,0.27," $11,046.99 ",August,2022,,,,,,,,,
8/28/22,1661644800,4.37574E+22,43757.36793,0.26," $11,376.92 ",August,2022,,,,,,,,,
8/29/22,1661731200,1.69611E+22,16961.13542,0.28," $4,749.12 ",August,2022,,,,,,,,,
8/30/22,1661817600,9.70371E+21,9703.705409,0.27," $2,620.00 ",August,2022,,,,,,,,,
8/31/22,1661904000,8.74952E+21,8749.523953,0.27," $2,362.37 ",August,2022,,,,,,,,,
9/1/22,1661990400,5.53193E+21,5531.929304,0.27," $1,493.62 ",September,2022,,,,,,,,,
9/2/22,1662076800,5.11891E+21,5118.911617,0.27," $1,382.11 ",September,2022,,,,,,,,,
9/3/22,1662163200,5.99352E+21,5993.523584,0.27," $1,618.25 ",September,2022,,,,,,,,,
9/4/22,1662249600,3.32246E+21,3322.464913,0.27, $897.07 ,September,2022,,,,,,,,,
9/5/22,1662336000,5.77849E+21,5778.489941,0.26," $1,502.41 ",September,2022,,,,,,,,,
9/6/22,1662422400,1.71681E+22,17168.07274,0.24," $4,120.34 ",September,2022,,,,,,,,,
9/7/22,1662508800,1.55235E+22,15523.47626,0.25," $3,880.87 ",September,2022,,,,,,,,,
9/8/22,1662595200,6.44596E+21,6445.961564,0.25," $1,611.49 ",September,2022,,,,,,,,,
9/9/22,1662681600,1.92739E+22,19273.87718,0.27," $5,203.95 ",September,2022,,,,,,,,,
9/10/22,1662768000,6.92E+21,6920.004346,0.27," $1,868.40 ",September,2022,,,,,,,,,
9/11/22,1662854400,5.39089E+21,5390.886093,0.27," $1,455.54 ",September,2022,,,,,,,,,
9/12/22,1662940800,1.17065E+22,11706.46015,0.27," $3,160.74 ",September,2022,,,,,,,,,
9/13/22,1663027200,2.50788E+22,25078.75986,0.25," $6,269.69 ",September,2022,,,,,,,,,
9/14/22,1663113600,6.94528E+21,6945.281194,0.25," $1,736.32 ",September,2022,,,,,,,,,
9/15/22,1663200000,9.94471E+21,9944.708303,0.24," $2,386.73 ",September,2022,,,,,,,,,
9/16/22,1663286400,1.26278E+22,12627.75583,0.25," $3,156.94 ",September,2022,,,,,,,,,
9/17/22,1663372800,2.54677E+21,2546.773001,0.25, $636.69 ,September,2022,,,,,,,,,
9/18/22,1663459200,7.1467E+22,71467.01058,0.22," $15,722.74 ",September,2022,,,,,,,,,
9/19/22,1663545600,6.8059E+22,68059.01905,0.23," $15,653.57 ",September,2022,,,,,,,,,
9/20/22,1663632000,4.78274E+21,4782.736632,0.23," $1,100.03 ",September,2022,,,,,,,,,
9/21/22,1663718400,8.77095E+22,87709.48108,0.22," $19,296.09 ",September,2022,,,,,,,,,
,,,,0.23, $-   ,January,1900,,,,,,,,,
,,,,0.23, $-   ,January,1900,,,,,,,,,
,,,,0.23, $-   ,January,1900,,,,,,,,,
,,,,0.22, $-   ,January,1900,,,,,,,,,