Date,Tx_Fees_Per_Day
1/3/22,1171.24894
2/3/22,1148.031585
3/3/22,1184.33889
4/3/22,1167.61172
5/3/22,1222.274425
6/3/22,1219.811685
7/3/22,1153.588795
8/3/22,1207.666125
9/3/22,1168.109065
10/3/22,1012.951665
11/3/22,1159.481095
12/3/22,1288.58266
13-03-2022,1257.0222
14-03-2022,1220.4587
15-03-2022,1227.580165
16-03-2022,1288.27739
17-03-2022,1345.12004
18-03-2022,1339.09522
19-03-2022,1305.59572
20-03-2022,1297.79028
21-03-2022,1274.63648
22-03-2022,1301.83735
23-03-2022,1344.810845
24-03-2022,1284.08514
25-03-2022,1286.254575
26-03-2022,1282.707185
27-03-2022,1277.645725
28-03-2022,1349.83542
29-03-2022,1369.83909
30-03-2022,1333.78427
31-03-2022,1294.74854
1/4/22,1150.015045
2/4/22,1180.58766
3/4/22,1063.59725
4/4/22,977.77053
5/4/22,1137.263175
6/4/22,842.27405
7/4/22,849.088035
8/4/22,828.651595
9/4/22,663.31029
10/4/22,973.68366
11/4/22,1024.83125
12/4/22,987.10311
13-04-2022,1172.785175
14-04-2022,1252.202965
15-04-2022,1285.66447
16-04-2022,1251.26405
17-04-2022,1083.13379
18-04-2022,988.443325
19-04-2022,1179.969495
20-04-2022,1194.11565
21-04-2022,1244.857265
22-04-2022,1235.883415
23-04-2022,1285.036365
24-04-2022,1127.375245
25-04-2022,1032.373545
26-04-2022,947.27898
27-04-2022,1086.533975
28-04-2022,1024.2328
29-04-2022,876.561625
30-04-2022,754.18306
1/5/22,831.84835
2/5/22,1089.20831
3/5/22,1236.842195
4/5/22,1266.10751
5/5/22,1234.33076
6/5/22,1132.887975
7/5/22,1241.68514
8/5/22,1210.843525
9/5/22,1031.633095
10/5/22,912.40792
11/5/22,900.495455
12/5/22,811.21469
13-05-2022,835.74755
14-05-2022,1041.4381
15-05-2022,992.8205
16-05-2022,957.629305
17-05-2022,809.192385
18-05-2022,952.803855
19-05-2022,950.96978
20-05-2022,807.81617
21-05-2022,1043.566985
22-05-2022,996.79752
23-05-2022,940.653925
24-05-2022,884.988925
25-05-2022,779.800735
26-05-2022,809.98853
27-05-2022,788.31321
28-05-2022,818.4316073
29-05-2022,796.5914473
30-05-2022,796.9874348
31-05-2022,864.9770553
1/6/22,874.8409949
2/6/22,950.0385377
3/6/22,990.9056952
4/6/22,1057.956439
5/6/22,871.6925129
6/6/22,746.4285984
7/6/22,964.0103407
8/6/22,945.368558
9/6/22,879.1693244
10/6/22,977.2428708
11/6/22,1021.859747
12/6/22,939.783682
13-06-2022,721.5613316
14-06-2022,753.7096227
15-06-2022,866.21825
16-06-2022,1054.14444
17-06-2022,1113.294508
18-06-2022,1173.094407
19-06-2022,1275.032543
20-06-2022,1330.16689
21-06-2022,1311.043068
22-06-2022,1274.022482
23-06-2022,1199.474836
24-06-2022,1121.377016
25-06-2022,1165.224825
26-06-2022,1401.574493
27-06-2022,1235.672536
28-06-2022,1418.275505
29-06-2022,1204.188892
30-06-2022,1234.263526
1/7/22,1173.011985
2/7/22,1309.672507
3/7/22,1034.572237
4/7/22,1316.688846
5/7/22,1325.43243
6/7/22,1128.14428
7/7/22,1324.343049
8/7/22,1230.140181
9/7/22,1331.418989
10/7/22,1527.344258
11/7/22,1267.906183
12/7/22,1277.756862
13-07-2022,1327.77751
14-07-2022,1440.074867
15-07-2022,1360.350956
16-07-2022,1264.557822
17-07-2022,1217.727513
18-07-2022,1161.915985
19-07-2022,1248.251908
20-07-2022,1393.509384
21-07-2022,1399.964331
22-07-2022,1562.009821
23-07-2022,1428.984109
24-07-2022,1396.149632
25-07-2022,1256.217867
26-07-2022,1386.026305
27-07-2022,1416.003194
28-07-2022,1291.160754
29-07-2022,1479.370677
30-07-2022,1384.855892
31-07-2022,1397.755103
1/8/22,1347.973933
2/8/22,1364.873497
3/8/22,1412.588606
4/8/22,1530.025036
5/8/22,1477.667961
6/8/22,1553.455309
7/8/22,1487.289531
8/8/22,1491.587226
9/8/22,1449.652529
10/8/22,1331.233639
11/8/22,1376.512769
12/8/22,1417.464668
13-08-2022,1412.696211
14-08-2022,1329.044929
15-08-2022,1418.896575
16-08-2022,1402.364251
17-08-2022,1444.873981
18-08-2022,1467.033108
19-08-2022,1429.915622
20-08-2022,1546.464041
21-08-2022,1649.521911
22-08-2022,1474.012441
23-08-2022,1419.954374
24-08-2022,1451.130828
25-08-2022,1460.052216
26-08-2022,1454.393362
27-08-2022,1563.978699
28-08-2022,1730.32975
29-08-2022,1540.757656
30-08-2022,1544.546729
31-08-2022,1499.313213
1/9/22,1517.21135
2/9/22,1482.992475
3/9/22,1709.505919
4/9/22,1710.19284
5/9/22,1617.771177
6/9/22,1521.34013
7/9/22,1577.494232
8/9/22,1560.424801
9/9/22,1467.716792
10/9/22,1464.843615
11/9/22,1607.663264
12/9/22,1527.843488
13-09-2022,1495.454337
14-09-2022,1487.999
15-09-2022,1488.423833
16-09-2022,1355.241998
17-09-2022,1547.807442
18-09-2022,1434.512884
19-09-2022,1371.643471
20-09-2022,1632.127018
21-09-2022,1385.051865
22-09-2022,1496.165604
23-09-2022,1729.54019
24-09-2022,1792.993645
25-09-2022,1787.572589